Feature,Coefficient,AbsoluteCoefficient
URLSimilarityIndex,-6.953278638765637,6.953278638765637
IsHTTPS,-5.253683643667151,5.253683643667151
SpacialCharRatioInURL,2.196908907064563,2.196908907064563
NoOfSubDomain,-2.039371810031892,2.039371810031892
HasSocialNet,-2.032082855206362,2.032082855206362
LetterRatioInURL,2.022876834108781,2.022876834108781
NoOfJS,-1.7033434593476866,1.7033434593476866
NoOfSelfRef,-1.6034899596092915,1.6034899596092915
NoOfExternalRef,-1.4709595092917773,1.4709595092917773
NoOfImage,-1.3660490979331168,1.3660490979331168
DegitRatioInURL,1.3642154185039508,1.3642154185039508
HasDescription,-1.3353671713147808,1.3353671713147808
HasCopyrightInfo,-1.3108976812425506,1.3108976812425506
LineOfCode,-1.1381286394503973,1.1381286394503973
LargestLineLength,0.9542149931968228,0.9542149931968228
DomainLength,-0.9086435267276319,0.9086435267276319
HasTitle,-0.833067533127451,0.833067533127451
NoOfOtherSpecialCharsInURL,0.744425358933862,0.744425358933862
TLD_top,0.6106396451147058,0.6106396451147058
HasHiddenFields,-0.5925579216704636,0.5925579216704636
Pay,-0.5367086176014648,0.5367086176014648
NoOfiFrame,-0.4816029393077147,0.4816029393077147
CharContinuationRate,0.4532171796173493,0.4532171796173493
DomainTitleMatchScore,-0.4421502633850135,0.4421502633850135
URLCharProb,-0.4297504946090468,0.4297504946090468
HasSubmitButton,-0.3907091147705483,0.3907091147705483
TLD_org,-0.389832625851482,0.389832625851482
NoOfSelfRedirect,-0.38559094153917334,0.38559094153917334
HasFavicon,-0.38520400059194,0.38520400059194
NoOfLettersInURL,0.37129415487277345,0.37129415487277345
NoOfCSS,-0.351074776961159,0.351074776961159
NoOfEmptyRef,-0.3414928838069471,0.3414928838069471
TLD_uk,-0.32878729316176275,0.32878729316176275
TLD_co,0.3279780774608181,0.3279780774608181
TLD_au,0.29047929128758815,0.29047929128758815
TLD_edu,-0.27960268179370884,0.27960268179370884
NoOfPopup,-0.27597730721579194,0.27597730721579194
NoOfDegitsInURL,0.2729125898370461,0.2729125898370461
TLD_de,-0.259445031823633,0.259445031823633
TLD_nl,-0.25510515049144744,0.25510515049144744
IsResponsive,-0.2492391310411407,0.2492391310411407
Robots,-0.2422439270222457,0.2422439270222457
TLD_gov,-0.24204076091562832,0.24204076091562832
