Feature,Importance
URLSimilarityIndex,0.9868448053854136
LineOfCode,0.012722224091497654
IsHTTPS,0.0003896662467115754
NoOfSubDomain,4.330427637723342e-05
TLD_xn--6frz82g,0.0
TLD_wtf,0.0
TLD_zw,0.0
URLLength,0.0
DomainLength,0.0
IsDomainIP,0.0
TLD_vn,0.0
HasObfuscation,0.0
NoOfObfuscatedChar,0.0
ObfuscationRatio,0.0
NoOfLettersInURL,0.0
LetterRatioInURL,0.0
NoOfDegitsInURL,0.0
DegitRatioInURL,0.0
NoOfEqualsInURL,0.0
NoOfQMarkInURL,0.0
NoOfAmpersandInURL,0.0
NoOfOtherSpecialCharsInURL,0.0
SpacialCharRatioInURL,0.0
TLDLegitimateProb,0.0
HasTitle,0.0
DomainTitleMatchScore,0.0
URLTitleMatchScore,0.0
HasFavicon,0.0
Robots,0.0
IsResponsive,0.0
NoOfURLRedirect,0.0
NoOfSelfRedirect,0.0
HasDescription,0.0
NoOfPopup,0.0
NoOfiFrame,0.0
HasExternalFormSubmit,0.0
HasSocialNet,0.0
HasSubmitButton,0.0
HasHiddenFields,0.0
HasPasswordField,0.0
Bank,0.0
Pay,0.0
Crypto,0.0
HasCopyrightInfo,0.0
NoOfImage,0.0
NoOfCSS,0.0
NoOfJS,0.0
NoOfSelfRef,0.0
NoOfEmptyRef,0.0
NoOfExternalRef,0.0
TLD_101,0.0
TLD_103,0.0
TLD_106,0.0
TLD_107,0.0
TLD_108,0.0
TLD_11,0.0
TLD_110,0.0
TLD_111,0.0
TLD_116,0.0
TLD_117,0.0
TLD_12,0.0
TLD_120,0.0
TLD_121,0.0
TLD_123,0.0
TLD_125,0.0
TLD_126,0.0
TLD_126:8080,0.0
TLD_128,0.0
TLD_13,0.0
TLD_130,0.0
TLD_133:8080,0.0
TLD_134,0.0
TLD_136,0.0
TLD_14,0.0
TLD_140,0.0
TLD_145,0.0
TLD_146,0.0
TLD_148,0.0
TLD_149,0.0
TLD_15,0.0
TLD_150,0.0
TLD_151,0.0
TLD_154,0.0
TLD_155,0.0
TLD_158,0.0
TLD_160,0.0
TLD_161,0.0
TLD_162,0.0
TLD_163,0.0
TLD_165,0.0
TLD_166,0.0
TLD_167,0.0
TLD_171,0.0
TLD_173,0.0
TLD_177,0.0
TLD_178,0.0
TLD_181,0.0
TLD_182,0.0
TLD_184,0.0
TLD_185,0.0
TLD_187,0.0
TLD_188:10003,0.0
TLD_189,0.0
TLD_196,0.0
TLD_197,0.0
TLD_198,0.0
TLD_199,0.0
TLD_20,0.0
TLD_200,0.0
TLD_203,0.0
TLD_206,0.0
TLD_21,0.0
TLD_210,0.0
TLD_211,0.0
TLD_211:8383,0.0
TLD_214,0.0
TLD_216,0.0
TLD_220,0.0
TLD_221,0.0
TLD_222,0.0
TLD_223,0.0
TLD_225,0.0
TLD_227,0.0
TLD_230,0.0
TLD_231,0.0
TLD_232,0.0
TLD_233,0.0
TLD_234,0.0
TLD_235,0.0
TLD_237,0.0
TLD_238,0.0
TLD_24,0.0
TLD_240,0.0
TLD_240:8087,0.0
TLD_242,0.0
TLD_243,0.0
TLD_249:8080,0.0
TLD_250,0.0
TLD_252,0.0
TLD_254:30332,0.0
TLD_26,0.0
TLD_27,0.0
TLD_28,0.0
TLD_30,0.0
TLD_33,0.0
TLD_38,0.0
TLD_39,0.0
TLD_41,0.0
TLD_42,0.0
TLD_43,0.0
TLD_46,0.0
TLD_47,0.0
TLD_51,0.0
TLD_52,0.0
TLD_63,0.0
TLD_67,0.0
TLD_68:8080,0.0
TLD_69,0.0
TLD_71,0.0
TLD_78,0.0
TLD_80,0.0
TLD_80:8085,0.0
TLD_84,0.0
TLD_86,0.0
TLD_87,0.0
TLD_94,0.0
TLD_95,0.0
TLD_ac,0.0
TLD_academy,0.0
TLD_ad,0.0
TLD_ae,0.0
TLD_aero,0.0
TLD_af,0.0
TLD_africa,0.0
TLD_ag,0.0
TLD_agency,0.0
TLD_ai,0.0
TLD_al,0.0
TLD_am,0.0
TLD_amsterdam,0.0
TLD_ao,0.0
TLD_app,0.0
TLD_aq,0.0
TLD_ar,0.0
TLD_archi,0.0
TLD_art,0.0
TLD_as,0.0
TLD_asia,0.0
TLD_associates,0.0
TLD_at,0.0
TLD_au,0.0
TLD_audio,0.0
TLD_auto,0.0
TLD_autos,0.0
TLD_aw,0.0
TLD_ax,0.0
TLD_az,0.0
TLD_ba,0.0
TLD_band,0.0
TLD_bank,0.0
TLD_bar,0.0
TLD_barcelona,0.0
TLD_basketball,0.0
TLD_bayern,0.0
TLD_bb,0.0
TLD_bd,0.0
TLD_be,0.0
TLD_beauty,0.0
TLD_beer,0.0
TLD_berlin,0.0
TLD_best,0.0
TLD_bet,0.0
TLD_bf,0.0
TLD_bg,0.0
TLD_bh,0.0
TLD_bi,0.0
TLD_bid,0.0
TLD_bike,0.0
TLD_bio,0.0
TLD_biz,0.0
TLD_bj,0.0
TLD_black,0.0
TLD_blog,0.0
TLD_bm,0.0
TLD_bn,0.0
TLD_bo,0.0
TLD_bond,0.0
TLD_boutique,0.0
TLD_br,0.0
TLD_bs,0.0
TLD_bt,0.0
TLD_build,0.0
TLD_builders,0.0
TLD_business,0.0
TLD_buzz,0.0
TLD_bw,0.0
TLD_by,0.0
TLD_bz,0.0
TLD_ca,0.0
TLD_cab,0.0
TLD_cafe,0.0
TLD_cam,0.0
TLD_camera,0.0
TLD_camp,0.0
TLD_capital,0.0
TLD_car,0.0
TLD_cards,0.0
TLD_care,0.0
TLD_careers,0.0
TLD_cars,0.0
TLD_casa,0.0
TLD_cash,0.0
TLD_cat,0.0
TLD_cc,0.0
TLD_cc:8443,0.0
TLD_cd,0.0
TLD_center,0.0
TLD_cern,0.0
TLD_cf,0.0
TLD_cfd,0.0
TLD_ch,0.0
TLD_chat,0.0
TLD_church,0.0
TLD_ci,0.0
TLD_citic,0.0
TLD_city,0.0
TLD_ck,0.0
TLD_cl,0.0
TLD_cleaning,0.0
TLD_click,0.0
TLD_clothing,0.0
TLD_cloud,0.0
TLD_club,0.0
TLD_cm,0.0
TLD_cn,0.0
TLD_co,0.0
TLD_coach,0.0
TLD_codes,0.0
TLD_coffee,0.0
TLD_college,0.0
TLD_com,0.0
TLD_com:2096,0.0
TLD_com:4000,0.0
TLD_com:443,0.0
TLD_com:9595,0.0
TLD_community,0.0
TLD_company,0.0
TLD_computer,0.0
TLD_condos,0.0
TLD_consulting,0.0
TLD_cool,0.0
TLD_coop,0.0
TLD_corsica,0.0
TLD_cr,0.0
TLD_crs,0.0
TLD_cu,0.0
TLD_cv,0.0
TLD_cx,0.0
TLD_cy,0.0
TLD_cymru,0.0
TLD_cyou,0.0
TLD_cz,0.0
TLD_date,0.0
TLD_de,0.0
TLD_delivery,0.0
TLD_dental,0.0
TLD_design,0.0
TLD_dev,0.0
TLD_diamonds,0.0
TLD_digital,0.0
TLD_direct,0.0
TLD_dj,0.0
TLD_dk,0.0
TLD_dm,0.0
TLD_do,0.0
TLD_dog,0.0
TLD_domains,0.0
TLD_download,0.0
TLD_dz,0.0
TLD_earth,0.0
TLD_ec,0.0
TLD_eco,0.0
TLD_edu,0.0
TLD_education,0.0
TLD_ee,0.0
TLD_eg,0.0
TLD_email,0.0
TLD_energy,0.0
TLD_engineering,0.0
TLD_es,0.0
TLD_et,0.0
TLD_eu,0.0
TLD_eus,0.0
TLD_events,0.0
TLD_exchange,0.0
TLD_expert,0.0
TLD_express,0.0
TLD_faith,0.0
TLD_family,0.0
TLD_farm,0.0
TLD_fashion,0.0
TLD_fi,0.0
TLD_film,0.0
TLD_finance,0.0
TLD_fit,0.0
TLD_fitness,0.0
TLD_fj,0.0
TLD_fk,0.0
TLD_flights,0.0
TLD_fm,0.0
TLD_fo,0.0
TLD_foundation,0.0
TLD_fr,0.0
TLD_fr:443,0.0
TLD_fun,0.0
TLD_fund,0.0
TLD_furniture,0.0
TLD_fyi,0.0
TLD_ga,0.0
TLD_gal,0.0
TLD_gallery,0.0
TLD_game,0.0
TLD_games,0.0
TLD_garden,0.0
TLD_gay,0.0
TLD_gd,0.0
TLD_gdn,0.0
TLD_ge,0.0
TLD_gf,0.0
TLD_gg,0.0
TLD_gh,0.0
TLD_gi,0.0
TLD_gift,0.0
TLD_gifts,0.0
TLD_gives,0.0
TLD_gl,0.0
TLD_gle,0.0
TLD_global,0.0
TLD_gmbh,0.0
TLD_gold,0.0
TLD_golf,0.0
TLD_goog,0.0
TLD_google,0.0
TLD_gov,0.0
TLD_gp,0.0
TLD_gq,0.0
TLD_gr,0.0
TLD_green,0.0
TLD_group,0.0
TLD_gs,0.0
TLD_gt,0.0
TLD_guide,0.0
TLD_guitars,0.0
TLD_guru,0.0
TLD_gy,0.0
TLD_hair,0.0
TLD_hamburg,0.0
TLD_health,0.0
TLD_healthcare,0.0
TLD_help,0.0
TLD_hk,0.0
TLD_hn,0.0
TLD_holdings,0.0
TLD_holiday,0.0
TLD_homes,0.0
TLD_host,0.0
TLD_hosting,0.0
TLD_house,0.0
TLD_hr,0.0
TLD_ht,0.0
TLD_hu,0.0
TLD_icu,0.0
TLD_id,0.0
